Content Area,PVALUE,Biserial,A,B,C,ICC0,ICC1,ICC2,ICC3,ICC4,ICC5,ICC6,ICC7,ICC8,ICC9,ICC10,ICC11,ICC12,ICC13,ICC14,ICC15,ICC16,ICC17,ICC18,ICC19,ICC20,ICC21,ICC22,ICC23,ICC24,ICC25,ICC26,ICC27,ICC28,ICC29,ICC30,ICC31,ICC32,ICC33,ICC34,ICC35,ICC36,ICC37,ICC38,ICC39,ICC40,IIF0,IIF1,IIF2,IIF3,IIF4,IIF5,IIF6,IIF7,IIF8,IIF9,IIF10,IIF11,IIF12,IIF13,IIF14,IIF15,IIF16,IIF17,IIF18,IIF19,IIF20,IIF21,IIF22,IIF23,IIF24,IIF25,IIF26,IIF27,IIF28,IIF29,IIF30,IIF31,IIF32,IIF33,IIF34,IIF35,IIF36,IIF37,IIF38,IIF39,IIF40,
Data Analysis,0.543,0.495,0.8685,0.4598,0.15608,0.1778406536,0.18119975,0.1850590985,0.1894871974,0.194559975,0.2003609545,0.2069811838,0.2145188382,0.2230783962,0.2327692705,0.2437037749,0.2559943096,0.2697496714,0.2850704355,0.3020434302,0.3207354224,0.3411862669,0.3634019163,0.3873478482,0.4129435865,0.4400590681,0.4685135754,0.4980778112,0.5284794186,0.5594118708,0.5905462332,0.621544896,0.6520760889,0.6818278689,0.7105203512,0.7379152183,0.7638219218,0.7881004218,0.8106606997,0.8314595747,0.8504955295,0.8678022949,0.883441894,0.8974977275,0.9100681292,0.9212606723,0.0067004467,0.0087274211,0.0113193202,0.0146115075,0.0187622188,0.0239524409,0.0303838862,0.038274402,0.0478501636,0.0593341173,0.0729303879,0.0888047629,0.1070619072,0.1277206222,0.1506891757,0.1757434086,0.2025108403,0.2304642001,0.2589275514,0.2870973115,0.3140789498,0.3389380481,0.3607619978,0.378726325,0.3921580416,0.4005880172,0.4037854435,0.4017699352,0.3948001963,0.3833417356,0.3680190308,0.349559239,0.3287348027,0.3063112661,0.2830047474,0.2594513428,0.2361887416,0.2136488262,0.1921591185,0.1719505893,0.1531694254,2.3523043586
Data Analysis,0.469,0.549,0.8954,-0.1635,0.1732,0.2208011654,0.2281078962,0.2364451679,0.2459291003,0.2566797106,0.2688179412,0.2824616803,0.297720701,0.3146905202,0.3334453037,0.3540300972,0.3764528502,0.400676891,0.4266146697,0.4541236776,0.4830054115,0.5130080664,0.5438332871,0.5751468298,0.6065924535,0.6378078793,0.6684413273,0.6981670516,0.7266984501,0.7537977093,0.7792814445,0.8030223295,0.8249471551,0.8450320659,0.8632958716,0.8797923237,0.8946021387,0.9078253741,0.9195745721,0.9299689061,0.9391294163,0.9471753154,0.954221269,0.9603755219,0.9657387226,0.9704033037,0.0271039503,0.0345809066,0.0437839535,0.0549754988,0.0684064108,0.0842939762,0.1027949546,0.123975091,0.147777479,0.1739932084,0.2022385853,0.2319436491,0.2623564733,0.2925666264,0.3215490931,0.348227037,0.3715484293,0.3905684292,0.4045273003,0.4129132897,0.415501645,0.412364571,0.4038516652,0.3905450761,0.37319722,0.3526606258,0.3298192281,0.3055285649,0.2805695911,0.2556179295,0.2312279621,0.207829506,0.1857339967,0.1651469604,0.1461838951,0.1288872652,0.1132429694,0.0991952478,0.0866594887,0.0755327636,0.0657021585,1.7554239015
Data Analysis,0.473,0.525,0.8802,-0.1116,0.19263,0.2377959655,0.2446174068,0.2523883209,0.2612153413,0.2712091741,0.2824821363,0.2951448321,0.3093018849,0.3250467089,0.3424553907,0.3615798806,0.3824408426,0.4050206777,0.4292573855,0.4550400313,0.4822066019,0.510544927,0.5397971009,0.5696674717,0.599833822,0.6299609209,0.6597152743,0.6887797136,0.7168664899,0.7437277681,0.769162802,0.7930215194,0.8152046787,0.8356611019,0.8543826966,0.8713980561,0.8867653879,0.9005654035,0.9128946451,0.923859562,0.9335715032,0.9421426741,0.9496830223,0.9562979617,0.962086817,0.9671418625,0.0224638223,0.0286728076,0.0363410852,0.0457063029,0.0570043157,0.0704519211,0.0862248427,0.1044317195,0.1250857456,0.1480765709,0.173145968,0.1998713887,0.2276616475,0.2557683672,0.2833153852,0.3093460594,0.3328855969,0.3530126142,0.3689317898,0.3800383438,0.3859656435,0.3866095374,0.3821266587,0.3729080717,0.3595333283,0.3427124334,0.323224012,0.30185718,0.2793627121,0.2564166818,0.2335974157,0.2113747618,0.1901094986,0.1700602003,0.1513948807,0.1342050874,0.118520627,0.1043236478,0.0915612897,0.0801565069,0.0700169526,1.737170435
Data Analysis,0.539,0.361,0.7185,0.3647,0.21433,0.2557598231,0.2608237798,0.2664633446,0.2727329243,0.2796893055,0.2873910238,0.2958975167,0.3052680313,0.3155602659,0.3268287336,0.339122849,0.352484761,0.3669469775,0.3825298575,0.3992390789,0.4170632198,0.4359716202,0.4559127066,0.4768129685,0.4985767574,0.5210870438,0.5442072079,0.5677838636,0.5916506278,0.6156326579,0.6395517077,0.6632313939,0.6865023466,0.7092069289,0.731203254,0.7523682999,0.7726000081,0.7918183396,0.8099653439,0.8270043608,0.8429185169,0.8577087048,0.8713912278,0.8839952859,0.8955604474,0.9061342264,0.0120719657,0.0148068118,0.0180836698,0.0219834875,0.0265907083,0.0319904717,0.0382648561,0.0454881318,0.053721076,0.0630045121,0.0733523667,0.0847446727,0.0971210827,0.1103755594,0.1243529656,0.1388482623,0.1536089132,0.1683408901,0.1827183717,0.1963968498,0.2090289533,0.2202819084,0.229855259,0.2374973161,0.2430188435,0.2463027217,0.2473087481,0.2460732539,0.2427037833,0.2373695782,0.2302889931,0.2217151538,0.2119211967,0.2011862702,0.1897832222,0.1779685786,0.165975095,0.1540068851,0.1422369101,0.130806476,0.1198263133,1.4500470783
Data Analysis,0.279,0.218,1.0635,1.5004,0.22843,0.2298040083,0.2300757253,0.2304010381,0.2307904589,0.2312565355,0.2318142348,0.2324813929,0.2332792424,0.2342330262,0.2353727083,0.2367337905,0.2383582412,0.2402955391,0.242603827,0.2453511608,0.2486168212,0.2524926342,0.2570842142,0.262512002,0.268911917,0.2764353801,0.2852483939,0.2955292976,0.30746476,0.3212435633,0.3370477836,0.3550411468,0.3753546512,0.3980700326,0.4232022776,0.4506830866,0.480347788,0.511928484,0.5450559439,0.5792718079,0.614051086,0.6488330288,0.6830567154,0.7161966653,0.7477937724,0.7774778947,3.47438E-05,4.97676E-05,7.12566E-05,0.0001019705,0.0001458314,0.000208402,0.000297553,0.0004243886,0.0006045224,0.0008598177,0.0012207406,0.0017294979,0.002444155,0.0034439318,0.0048358401,0.0067627241,0.0094125639,0.013028548,0.0179188784,0.0244645161,0.0331221374,0.0444185802,0.0589322708,0.0772569649,0.0999441211,0.127422892,0.1599013164,0.1972585692,0.238945034,0.2839125951,0.3305994651,0.3769897021,0.4207561604,0.4594780228,0.490904186,0.5132177869,0.5252513995,0.5266105165,0.5176834323,0.4995421064,0.4737621978,1.3380398718
Data Analysis,0.216,0.181,1.379,1.6059,0.18333,0.1835039896,0.183549945,0.1836080344,0.1836814591,0.1837742637,0.1838915569,0.1840397905,0.1842271103,0.1844637966,0.1847628187,0.1851405283,0.1856175277,0.1862197511,0.1869798077,0.1879386406,0.1891475639,0.1906707414,0.1925881698,0.1949992161,0.1980267268,0.2018216647,0.206568124,0.2124884024,0.2198475466,0.2289564193,0.2401718479,0.2538918471,0.2705433537,0.2905596169,0.3143447016,0.34222402,0.3743828548,0.4107995642,0.4511857453,0.4949499921,0.5412020336,0.5888075227,0.6364908198,0.6829679807,0.727081572,0.7679082736,1.1099914E-06,1.7732429E-06,2.8324927E-06,4.523855E-06,7.2239024E-06,1.15329E-05,1.8407E-05,2.93678E-05,4.68346E-05,7.46477E-05,0.0001188931,0.0001891938,0.0003007232,0.0004773218,0.0007562809,0.0011956059,0.0018848887,0.0029612866,0.0046324578,0.0072084517,0.0111441984,0.0170927969,0.0259665255,0.0389965066,0.0577728163,0.0842353376,0.1205750845,0.1690025488,0.2313528342,0.3085349872,0.3998962124,0.5026485302,0.611567418,0.7191783559,0.8165604638,0.8947099151,0.9461718938,0.9664794186,0.954944949,0.914566813,0.8511386582,1.3135970047
Data Analysis,0.5,0.557,0.6582,-0.6301,0.05373,0.2217709034,0.2377960475,0.2549542723,0.2732512927,0.2926784511,0.3132110194,0.3348068111,0.3574052244,0.3809268362,0.4052736436,0.4303300232,0.4559644359,0.4820318553,0.5083768445,0.5348371551,0.5612476771,0.587444538,0.613269138,0.6385719105,0.6632156245,0.6870780831,0.7100541211,0.7320568601,0.7530182296,0.7728888073,0.7916370688,0.8092481555,0.8257222859,0.8410729292,0.8553248563,0.8685121667,0.8806763711,0.8918645914,0.9021279219,0.9115199756,0.9200956294,0.9279099672,0.9350174134,0.9414710438,0.9473220542,0.95261937,0.1385531389,0.1518439153,0.165449257,0.179208581,0.1929381171,0.2064338592,0.2194759815,0.2318347168,0.2432775621,0.253577537,0.2625220729,0.2699219937,0.2756199681,0.2794977953,0.2814819396,0.2815468512,0.2797157959,0.2760591303,0.2706901924,0.2637591743,0.2554455038,0.2459493474,0.2354828654,0.2242617988,0.2124978705,0.2003923476,0.1881309694,0.1758803112,0.1637855346,0.1519693927,0.1405322978,0.129553233,0.1190912872,0.109187603,0.0998675583,0.0911430277,0.0830146113,0.0754737424,0.0685046208,0.0620859364,0.0561923723,1.0206908533
Geometry,0.42,0.529,1.5241,0.6184,0.17458,0.1755127524,0.1757882189,0.1761448836,0.1766065765,0.1772040502,0.1779769441,0.1789762715,0.1802675512,0.1819347101,0.1840848872,0.1868542449,0.1904148272,0.1949823678,0.200824701,0.2082700049,0.2177134537,0.2296199224,0.244519191,0.2629888285,0.2856190698,0.3129544455,0.3454099945,0.3831668264,0.4260626547,0.4735049834,0.5244415655,0.5774167211,0.6307194221,0.6825962445,0.73147556,0.7761444636,0.8158399625,0.8502486798,0.8794371314,0.9037468418,0.9236855634,0.9398348026,0.9527820369,0.9630775236,0.9712112103,0.9776040121,4.02701E-05,6.74396E-05,0.0001128547,0.0001886693,0.0003150196,0.0005251361,0.0008735828,0.0014493725,0.0023965048,0.0039454411,0.0064599595,0.0105042061,0.0169334712,0.0270074124,0.0425135443,0.0658694224,0.1001442221,0.1489109,0.2158255396,0.3038568814,0.4141817792,0.5449259848,0.6901259642,0.8394249657,0.9789689827,1.0936391469,1.170188567,1.2003012868,1.1824374042,1.1217764122,1.0284055595,0.9146047745,0.792258784,0.6710977211,0.5579519656,0.456818186,0.3693862662,0.2957149,0.2348578252,0.185352799,0.1455590145,6.7967483766
Geometry,0.26,0.482,1.9119,1.2521,0.14322,0.1432419902,0.1432504356,0.1432621244,0.1432783019,0.1433006916,0.1433316785,0.1433745629,0.1434339106,0.1435160382,0.1436296824,0.1437869238,0.1440044613,0.1443053655,0.1447214883,0.1452967628,0.1460917059,0.1471895239,0.1487043289,0.1507920642,0.1536647926,0.1576089248,0.1630076067,0.1703665827,0.1803409712,0.1937569753,0.2116170934,0.2350700287,0.2653193597,0.3034441291,0.3501206561,0.4052792099,0.4677984183,0.5353972646,0.6048626402,0.6726121757,0.7354034828,0.7909083292,0.8379558976,0.8764369028,0.9070029629,0.9307222496,4.1624124E-08,7.9729859E-08,1.5271515E-07,2.9249795E-07,5.6018989E-07,1.0727749E-06,2.0541293E-06,3.9325308E-06,7.5268446E-06,1.44016E-05,2.7543E-05,5.26426E-05,0.000100528,0.0001917419,0.0003651168,0.0006936881,0.0013138661,0.0024780065,0.004646894,0.008647017,0.0159253239,0.0289333562,0.0516452988,0.0901314001,0.1529416422,0.250818971,0.3950769068,0.5940938589,0.848069983,1.1435031636,1.4502947823,1.7248658586,1.9207421879,2.0035574514,1.963140897,1.8158068739,1.5960311446,1.3432293792,1.0907662747,0.8607934919,0.6643178495,4.6818576656
Geometry,0.263,0.435,1.1727,0.8152,0.14387,0.1469853032,0.1476695643,0.1485033036,0.1495187781,0.150755013,0.1522591292,0.1540878847,0.1563094429,0.159005367,0.162272818,0.1662269004,0.1710030513,0.1767592925,0.1836780722,0.191967291,0.2018599543,0.2136117249,0.2274954888,0.2437919562,0.2627753684,0.284693677,0.3097432236,0.3380390365,0.3695833556,0.4042366518,0.4416967592,0.481492132,0.5229940541,0.5654496513,0.6080332516,0.6499092265,0.6902964401,0.7285240062,0.764070352,0.7965817363,0.8258708606,0.851899678,0.874752242,0.8946034644,0.9116885218,0.9262760215,0.000305415,0.0004518473,0.0006674757,0.0009842039,0.0014480309,0.0021248126,0.0031080344,0.0045290479,0.0065701371,0.0094805289,0.0135949255,0.0193532283,0.0273187435,0.0381903394,0.0528019561,0.0721010416,0.0970966814,0.1287693932,0.1679387249,0.2150924588,0.2701921189,0.3324822845,0.400343287,0.4712342592,0.5417711633,0.6079676103,0.6656333104,0.7108808185,0.7406491316,0.7531309214,0.7480031115,0.7264087217,0.6907048404,0.6440510069,0.5899422725,0.5317851813,0.472582405,0.4147503792,0.3600595925,0.3096669887,0.2642042418,4.2262649037
Geometry,0.213,0.493,0.8749,0.9366,0.07402,0.0856133384,0.0874455722,0.0895624538,0.0920065366,0.0948261732,0.0980761158,0.1018181126,0.10612147,0.111063544,0.1167301049,0.1232155099,0.1306225964,0.139062194,0.1486521329,0.1595156163,0.1717788156,0.1855675562,0.2010029893,0.2181961978,0.2372417721,0.2582105136,0.2811415788,0.3060345536,0.3328421236,0.3614641442,0.3917439781,0.423467915,0.4563682893,0.4901305667,0.5244042157,0.5588166856,0.592989363,0.6265540838,0.6591686916,0.690530277,0.7203850835,0.7485345294,0.7748372927,0.7992078341,0.8216120445,0.8420608553,0.0037037085,0.0048530848,0.0063357009,0.0082374055,0.0106615292,0.0137305825,0.0175873816,0.0223952754,0.0283371107,0.0356125562,0.0444334189,0.0550166397,0.0675747403,0.082303619,0.0993677498,0.1188830426,0.1408978791,0.1653731693,0.1921626832,0.2209954017,0.251462129,0.2830090342,0.3149409666,0.3464371395,0.3765809228,0.4044039504,0.4289426161,0.4493026115,0.4647249569,0.4746456047,0.4787406621,0.4769508369,0.4694816413,0.4567796053,0.4394883832,0.4183913703,0.3943487393,0.3682365425,0.3408940096,0.3130829314,0.2854606604,2.7007604017
